filename	date	time	dt_iso	preview
2024-08-07__242__собираю_материалы_рассказа_sekta_care_спросила_кто.md	2024-08-07	15:47	2024-08-07T15:47:14+08:00	Собираю материалы для рассказа о Sekta Care, спросила - а кто у нас из интересных ребят проходил курс в последнее время? Может я интервью возьму? Мне ребята …
2024-08-08__259__концерт_был_охуенный_один_таких_которые_потом.md	2024-08-08	05:51	2024-08-08T05:51:24+08:00	Ну что. Концерт был просто ОХУЕННЫЙ. Вот один из таких которые потом еще долго вспоминаешь всей группой. Мы ввалились в гримерку и просто орали и ржали) Все …
2024-08-09__280__поняла_не_написал_свой_день_вечером_следующий.md	2024-08-09	03:37	2024-08-09T03:37:37+08:00	Я поняла, что если не написал про свой день вечером, то на следующий волна новых событий все захлестнет. Лежу на кровати в отеле в Екатеринбурге и не могу во…
2024-08-10__292__концертом_екатеринбурге_завершился_месячный_марафон_разных_работ.md	2024-08-10	03:28	2024-08-10T03:28:01+08:00	Концертом в Екатеринбурге завершился месячный марафон разных работ и событий почти без выходных. Я была супер молодец во всем и сегодня днем словила тревожну…
2024-08-11__320__план_продолжению_деятельности_получился_все_100.md	2024-08-11	03:17	2024-08-11T03:17:20+08:00	Мой план по продолжению деятельности получился на все 100  Утром собрала и отправила детей с Вадимчиком (они поехали на Валдай к его родителям и потом немног…
2024-08-11__321__сосед_который_ехал_нами_лифте_не_мог.md	2024-08-11	03:17	2024-08-11T03:17:20+08:00	Сосед, который ехал с нами в лифте не мог поверить своим глазам и просто стоял как зачарованный, смотрел как бывший (и самый любимый) мэр города поднимается …
2024-08-11__322__всяких_старых_фоточек_нашла.md	2024-08-11	08:01	2024-08-11T08:01:12+08:00	Всяких старых фоточек нашла ❤️‍🔥❤️‍🔥❤️‍🔥
2024-08-12__336__самый_короткий_дневник_потому_не_происходило_ничего.md	2024-08-12	02:22	2024-08-12T02:22:21+08:00	Самый короткий дневник будет, потому что не происходило ничего. В 5 утра я села в самолет, а проводил меня кстати папа - уже скучаю по нему(. Спала от вылета…
2024-08-13__346__визу_не_дали_плакала_потому_жаль_всех.md	2024-08-13	02:50	2024-08-13T02:50:36+08:00	Визу не дали и я плакала. Потому что очень жаль всех потраченных сил. Того, что папа ехал 800 км чтобы передать документы, что я ехала в ночь после концерта …
2024-08-13__347__ночные_фотки_кстати_таймлапс_рилза_инсте_сделан.md	2024-08-13	22:21	2024-08-13T22:21:29+08:00	Ночные фотки - кстати таймлапс для рилза в инсте сделан именно из таких фотографий, на длинной выдержке, камера - LeicaQ3  Спасибо Насте Волосович, которая с…
2024-08-14__366__день_супер_классный_эмоциям_когда_ничего_не.md	2024-08-14	03:22	2024-08-14T03:22:45+08:00	День супер классный по эмоциям, когда ничего не происходит и слава богу)  Выспалась, когда проснулись не было электричества, поэтому вместо втыкания в телефо…
2024-08-14__367__вдохновилась_димы_сделано_канале_комментарии_группа_которой.md	2024-08-14	04:43	2024-08-14T04:43:23+08:00	Я вдохновилась как у Димы сделано в канале - что комментарии это группа в которой люди могут общаться вне зависимости от поста, который они комментируют. Так…
2024-08-15__378__проснулась_под_дождь_классно_когда_не_надо.md	2024-08-15	04:09	2024-08-15T04:09:00+08:00	Проснулась под дождь. Как же классно, когда не надо НИКУДА вставать и нет внутренней тревоги. Иногда бывает нет рабочих задач, но все равно надо бежать к дет…
2024-08-16__385__продуктовый_обзор_тех_кто_любит_горизонтально_смотреть.md	2024-08-16	03:11	2024-08-16T03:11:25+08:00	Продуктовый обзор для тех кто любит горизонтально смотреть или с компа)
2024-08-16__386__возвращение_детей_жизнь_проходит_не_гладко_усталость.md	2024-08-16	03:11	2024-08-16T03:11:49+08:00	Возвращение детей в жизнь проходит не гладко,усталость снова свалилась на меня со всей тяжестью, и я пытаюсь как-то это пересобрать.  У дедушки с бабушкой де…
