filename	date	time	dt_iso	preview
2020-06-25__65__приободрилась_боже_человек_глуп_когда_любит_чрезвычайно.md	2020-06-25	05:09	2020-06-25T05:09:06+08:00	«Я приободрилась. О, Боже мой, как человек глуп, когда он любит чрезвычайно. Это болезнь. От этого надлежало людей лечить в гошпиталях. Il faudroit des calma…
2020-06-25__66__так_можно_сразу_дисклеймер_телегу_литературный_ход.md	2020-06-25	05:34	2020-06-25T05:34:22+08:00	Так, можно сразу дисклеймер))) про телегу - это литературный ход 😆
2020-11-07__67__все_живёте_неправильно_кроме_францевич.md	2020-11-07	01:49	2020-11-07T01:49:50+08:00	Вы все живёте неправильно. Кроме Францевич 😆
2020-11-14__68__привет_котики_канал_скучает_тексты_скучают_начну.md	2020-11-14	22:26	2020-11-14T22:26:18+08:00	Привет, котики. Канал скучает, тексты скучают - начну выкладывать потихоньку то, что пишу. Если будет интересно - буду делиться еще. Книга (котору я не факт …
2020-11-14__69__однажды_папа_принес_книгу_крапивина_книга_была.md	2020-11-14	22:27	2020-11-14T22:27:55+08:00	Однажды папа принес мне книгу Крапивина. Книга была старая и толстая, мне стало страшно. Но потом, я помню, читала ее с лампой под одеялом, и никто не мог ме…
2020-11-14__70__когда_было_24_работала_психотерапевтом_был_папой.md	2020-11-14	22:27	2020-11-14T22:27:55+08:00	Когда мне было 24, я работала с психотерапевтом. Он был папой моего парня, его «кабинет» был оборудован на балконе хрущевки во Всеволожске, и я хотела, чтобы…
2020-11-15__71__первый_садик_был_хорошим_даже_был_бассейн.md	2020-11-15	02:21	2020-11-15T02:21:09+08:00	Первый садик был хорошим, там даже был бассейн во дврое, но почему-то маме он не нравился. Мы ездили туда на трамвае, и однажды я спросила маму Аню: «- А как…
2020-11-15__72__бойфренда_диму_был_сыном_сапожника_почему-то_было.md	2020-11-15	02:21	2020-11-15T02:21:10+08:00	бойфренда Диму, он был сыном сапожника (почему-то это было важным) и еще немножко цыганенком (это был плюс). Я мечтала выйти замуж за цыгана, чтобы у меня бы…
2020-11-15__73__окие_травы_лягушки_кузнечики.md	2020-11-15	02:21	2020-11-15T02:21:10+08:00	окие травы, лягушки, кузнечики.  Я помню луну над болотом, мы идем с папиным другом и с папой то ли в гараж, то ли из гаража. Он говорит: когда вокруг луны т…
2020-11-15__74__1_20_того_написала_перечитываю_понимаю_сначала.md	2020-11-15	02:33	2020-11-15T02:33:58+08:00	1/20 того, что я уже написала) перечитываю и понимаю, что сначала все так сумбурно, но потом я очень втянулась.
2020-11-15__75__круто_вам_нравится_пишете_завтра_выложу_пачку.md	2020-11-15	02:49	2020-11-15T02:49:30+08:00	Круто, что вам нравится и вы пишете! Завтра выложу ещё пачку)
2020-11-15__78__всем_доброго_воскресного_утра_классно_вам_нравится.md	2020-11-15	16:34	2020-11-15T16:34:23+08:00	Всем доброго воскресного утра. Классно, что вам нравится. Выкладываю следующую часть. Писала давно, но вчера в Екатеринбурге всё это ожило и задышало.
2020-11-15__79__3_мучают_видения_квартире_ботанике_приходит_великан.md	2020-11-15	16:34	2020-11-15T16:34:49+08:00	3. Еще меня мучают видения. В квартире на Ботанике ко мне приходит великан, он стоит за окном, и я понимаю, как он огромен, раз достает до форточки. Он стоит…
2020-11-15__80__самая_странная_глава_этой_истории_отношения_моей.md	2020-11-15	16:34	2020-11-15T16:34:50+08:00	Самая странная глава в этой истории - это отношения моей второй мамы и моего папы. Я думаю, он был в шоковом состоянии: умерла его любимая женщина, двое дете…
2020-11-16__81__добрый_вечер_кидаю_одну_часть_даже_не.md	2020-11-16	02:03	2020-11-16T02:03:10+08:00	Добрый вечер!) Кидаю еще одну часть. Даже не знаю, что делать с текстами выше - может быть удалять то, что уже прочитано - все равно новые читатели не такие …
2020-11-16__82__бабушка_валя_мама_моей_новой_мамы_была.md	2020-11-16	02:03	2020-11-16T02:03:21+08:00	Бабушка Валя (мама моей новой мамы) была интересной. Она разрешала мне ползать по сложным лазалкам, и вообще была на easy - в отличии от другой моей бабушки,…
2020-11-16__83__детьми.md	2020-11-16	02:03	2020-11-16T02:03:21+08:00	и детьми.  Мы снова жили на последнем этаже, прямо рядом с шахтой лифта. Первую ночь я не могла уснуть от громких механических звуков, через какое-то время я…
